LOSS,ACCURACY
1.0902412,0.4375
1.0494788,0.453125
1.0110644,0.48958334
1.0932515,0.4453125
1.1069812,0.4125
0.99208385,0.44791666
1.0826019,0.4419643
1.0563443,0.4375
1.0205939,0.44444445
1.0482786,0.4375
1.0535556,0.4431818
0.97580814,0.46354166
1.0264046,0.46875
1.0115763,0.4732143
1.0628668,0.46875
1.0270917,0.47460938
1.0523801,0.47058824
0.9911482,0.47395834
1.064122,0.47039473
1.0230176,0.4765625
0.97591436,0.48809522
1.0123694,0.49147728
1.0461688,0.48913044
1.0830666,0.484375
1.0180467,0.48625
1.0102566,0.48918268
1.0184186,0.48842594
1.0549195,0.48660713
1.0705044,0.4859914
0.956917,0.48958334
1.0029671,0.49395162
1.053975,0.49316406
1.0595064,0.49242425
1.0172156,0.4898897
1.02011,0.4892857
1.0330052,0.4887153
1.0347633,0.48986486
1.0287889,0.4901316
1.1261446,0.4871795
0.9961655,0.48984376
1.028308,0.49085367
1.0380527,0.4903274
1.037146,0.48909885
0.9773604,0.49147728
1.033523,0.49166667
0.93656164,0.4959239
1.0494971,0.49534574
1.0487326,0.49609375
0.95775235,0.4987245
0.99253845,0.499375
1.0553108,0.4987745
1.0155053,0.49939904
1.0962834,0.4970519
1.0812653,0.49594906
1.0211923,0.4965909
1.0300883,0.49776787
1.0161334,0.4989035
1.054078,0.49730605
1.025687,0.49894068
0.9264624,0.5026042
0.928654,0.50461066
1.0415169,0.50504035
0.9167828,0.50793654
1.0856007,0.50683594
0.9962262,0.50769234
1.0721477,0.5066288
1.04859,0.5069963
0.97187835,0.50827205
0.8885712,0.51222825
1.0413179,0.5125
0.9869674,0.5123239
0.91491544,0.5147569
0.9028738,0.5171233
0.976821,0.5177365
1.0475651,0.51708335
1.0474882,0.51644737
1.0203801,0.5154221
0.9468269,0.51802886
1.0101377,0.51898736
0.9599253,0.5203125
1.0052466,0.52044755
0.9858672,0.5209604
0.99713665,0.5210843
0.98425984,0.5219494
0.8800432,0.5242647
1.10149,0.5232558
1.0600512,0.5226293
0.9537758,0.5245028
1.1071782,0.5235253
0.9669691,0.5236111
0.9537631,0.52472526
0.8887614,0.52683425
0.99555475,0.52620965
0.94222325,0.5262633
0.9960151,0.5273026
0.9268646,0.5283203
1.0539044,0.5270619
0.97358185,0.52742344
0.9194571,0.52809346
0.97854614,0.5284375
1.049195,0.5281559
1.0352764,0.5278799
1.0020949,0.528216
0.94319147,0.5291466
1.0573856,0.5285714
1.0008471,0.5285967
1.0508028,0.52803737
1.1054155,0.5271991
0.9606723,0.5272362
0.8761227,0.528125
1.0468537,0.5275901
1.0428654,0.5265067
1.1131815,0.5251659
1.1215785,0.5238487
0.9779937,0.523913
0.95916003,0.52505386
1.0163867,0.52510685
0.9705141,0.5256886
0.9433536,0.5265231
1.077908,0.5260417
0.9074614,0.5268595
1.0377233,0.52663934
1.1083068,0.5261687
1.0972537,0.5254536
1.1143155,0.5245
1.0399654,0.52380955
0.9328101,0.5238681
1.0270911,0.5241699
0.9603003,0.5247093
0.978789,0.525
0.97550535,0.5255248
0.93138576,0.5265151
0.99583966,0.5270207
1.0080674,0.5270522
0.94842064,0.52731484
1.1098669,0.5261949
1.0417457,0.52577555
1.1314313,0.5244565
0.92944974,0.5247302
0.94794947,0.525
