LOSS,ACCURACY
30.6267,0.1875
12.690746,0.21875
6.218981,0.23958333
1.9889784,0.2421875
nan,0.2375
nan,0.25
nan,0.24107143
nan,0.24609375
nan,0.24652778
nan,0.253125
nan,0.25852272
nan,0.2578125
nan,0.25240386
nan,0.2544643
nan,0.25625
nan,0.25
nan,0.25
nan,0.24131945
nan,0.23848684
nan,0.2390625
nan,0.23809524
nan,0.23011364
nan,0.23641305
nan,0.23567708
nan,0.23625
nan,0.234375
nan,0.23148148
nan,0.22991072
nan,0.23275863
nan,0.23125
nan,0.23084678
nan,0.22949219
nan,0.22727273
nan,0.2297794
nan,0.22857143
nan,0.23090278
nan,0.22888513
nan,0.23108552
nan,0.2275641
nan,0.22578125
nan,0.22713415
nan,0.22842261
nan,0.22601745
nan,0.22443181
nan,0.22430556
nan,0.22486413
nan,0.22739361
nan,0.2298177
nan,0.22895408
nan,0.230625
nan,0.23100491
nan,0.23016827
nan,0.23231132
nan,0.2337963
nan,0.23011364
nan,0.23214285
nan,0.23190789
nan,0.23060344
nan,0.23252119
nan,0.23385416
nan,0.23411885
nan,0.23185484
nan,0.2326389
nan,0.23242188
nan,0.23413461
nan,0.23484848
nan,0.23600747
nan,0.23805147
nan,0.23777173
nan,0.23705357
nan,0.23855634
nan,0.2391493
nan,0.23972602
nan,0.23690878
nan,0.23583333
nan,0.23519737
nan,0.2353896
nan,0.23677884
nan,0.23734178
nan,0.23710938
nan,0.23649691
nan,0.23628049
nan,0.23531626
nan,0.23586309
nan,0.23602942
nan,0.23619185
nan,0.23599137
nan,0.234375
nan,0.23384832
nan,0.23333333
nan,0.23282968
nan,0.23369566
nan,0.23219086
nan,0.23337767
nan,0.23289473
nan,0.23404948
nan,0.23324743
nan,0.23246174
nan,0.23200758
nan,0.2325
