LOSS,ACCURACY
0.6487962,0.65625
0.8188193,0.59375
0.83733153,0.53125
0.7556307,0.4921875
0.9322998,0.4625
0.7942961,0.46354166
0.7481043,0.46875
0.7264547,0.4765625
0.7129418,0.47916666
0.7750296,0.48125
0.75718164,0.47727272
0.6206751,0.48958334
0.66212857,0.49519232
0.7634892,0.50446427
0.7491871,0.50625
0.6975561,0.5078125
0.7073894,0.5055147
0.6923647,0.5034722
0.7248051,0.49506578
0.65087974,0.490625
0.6866909,0.49107143
0.6853366,0.48579547
0.65379417,0.48913044
0.6575276,0.4908854
0.612841,0.49625
0.64412916,0.49639422
0.58816123,0.5023148
0.6164142,0.5066964
0.6567937,0.5075431
0.6597438,0.5052083
0.6541935,0.51008064
0.6222478,0.50878906
0.5778957,0.50852275
0.62549233,0.5128676
0.5738437,0.51696426
0.5494753,0.5208333
0.66863805,0.5185811
0.5987196,0.51644737
0.63028455,0.5120192
0.68707967,0.509375
0.6799873,0.5068598
0.64865553,0.50446427
0.59471023,0.5050872
0.6141857,0.5056818
0.6293327,0.50555557
0.5824027,0.5067935
0.6040023,0.50731385
0.5630188,0.50911456
0.5433291,0.51084185
0.5950812,0.5125
0.5880005,0.51409316
0.58016884,0.5144231
0.65464664,0.5141509
0.61849636,0.5133102
0.5756725,0.51363635
0.6260965,0.51339287
0.66544104,0.5093202
0.5831172,0.51131463
0.6163578,0.5100636
0.5763161,0.50885415
0.631001,0.50665987
0.5961638,0.5060484
0.57168275,0.50843257
0.5563372,0.5107422
0.58133817,0.51298076
0.5982944,0.51325756
0.5667428,0.51445895
0.5608609,0.5147059
0.56186134,0.51585144
0.60899234,0.51428574
0.62513053,0.5123239
0.578544,0.5112847
0.59633505,0.5107021
0.5622631,0.511402
0.58007145,0.51166666
0.57305884,0.5119243
0.5974879,0.5117695
0.54791373,0.51282054
0.60934293,0.51265824
0.57580525,0.5121094
0.5560374,0.5138889
0.55757326,0.5152439
0.6139169,0.51506025
0.6123409,0.51376486
0.56817496,0.5136029
0.5516307,0.5145349
0.604269,0.5132902
0.5511664,0.51420456
0.55000293,0.51544946
0.60738444,0.51493055
0.55512714,0.5154533
0.5087515,0.5180027
0.59076035,0.51780915
0.601635,0.5162899
0.52264416,0.51776314
0.5647977,0.5175781
0.604545,0.5161083
0.5734723,0.515625
0.5730463,0.5151515
0.5485195,0.515625
0.56214386,0.5160891
0.56837714,0.51623774
0.5383171,0.5172937
0.5803571,0.5168269
0.5805528,0.51666665
0.5511575,0.5170991
0.5682014,0.51752335
0.56509215,0.5179398
0.519091,0.5194954
0.5405895,0.52073866
0.56940603,0.5205518
0.55854744,0.52092636
0.57091576,0.5215708
0.6037214,0.5222039
0.55041957,0.5228261
0.5740644,0.52397627
0.5913465,0.522703
0.5612427,0.52330506
0.57288754,0.52284664
0.5792041,0.5229167
0.55780894,0.522469
0.5767143,0.5220287
0.56365454,0.52286583
0.58887094,0.5221774
0.58302605,0.522
0.5640888,0.52306545
0.54893863,0.52362204
0.55771327,0.5239258
0.5946689,0.5237403
0.5653627,0.5245192
0.5686078,0.5248092
0.55950826,0.5250947
0.54068094,0.52537596
0.54815483,0.5258862
0.57122815,0.525463
0.5118894,0.5268842
0.5487789,0.526688
0.55097675,0.52694744
0.56955695,0.5260791
0.56078833,0.5265625
0.5776682,0.5259308
0.5763062,0.5261884
0.536037,0.5268794
0.5664234,0.52647567
0.5486642,0.5262931
