LOSS,ACCURACY
0.27319854,0.28125
0.19471371,0.25
0.21694404,0.25
0.12924641,0.2734375
0.23556483,0.275
0.19685972,0.28125
0.12972724,0.29017857
0.17940176,0.296875
0.16825974,0.30555555
0.21367186,0.296875
0.115769506,0.3068182
0.115840256,0.328125
0.13303322,0.3341346
0.11271298,0.3392857
0.11638707,0.34375
0.13129032,0.35351562
0.11784285,0.35661766
0.12102264,0.3611111
0.16579431,0.36019737
0.147502,0.3625
0.084810674,0.36755952
0.13439286,0.36789772
0.12883514,0.3709239
0.10456967,0.37109375
0.10724652,0.3725
0.13668466,0.37139422
0.097987056,0.375
0.15059483,0.375
0.11089879,0.3760776
0.18913049,0.37291667
0.07609767,0.375
0.12729949,0.375
0.16348481,0.37594697
0.13541919,0.3740809
0.09318161,0.3794643
0.09019101,0.38541666
0.09334433,0.3893581
0.05622393,0.39555922
0.12210882,0.39583334
0.09751785,0.3984375
0.09421229,0.40167683
0.12832719,0.40104166
0.09689772,0.4026163
0.14090365,0.4005682
0.13166219,0.40138888
0.1210351,0.3987772
0.1398359,0.39760637
0.12798315,0.39518228
0.14969313,0.3947704
0.09943348,0.39875
0.09218985,0.40134802
0.09258765,0.4044471
0.10109401,0.40507075
0.05661279,0.4091435
0.1317401,0.4096591
0.044888973,0.41238838
0.14967972,0.40844297
0.062392175,0.41056034
0.10056996,0.4088983
0.121763825,0.40833333
0.10903221,0.40881148
0.084050655,0.40826613
0.11858457,0.4097222
0.054621816,0.41210938
0.09885031,0.41153845
0.09065151,0.4124053
0.113573134,0.41511193
0.064011276,0.41727942
0.1419757,0.41394928
0.09174073,0.41517857
0.09660053,0.41505283
0.14583808,0.41319445
0.09558785,0.41438356
0.1202811,0.41216215
0.104680836,0.41166666
0.093627095,0.4115954
0.07136655,0.41314936
0.099880636,0.4130609
0.08754468,0.41337025
0.0829463,0.41367188
0.035585046,0.41512346
0.063780785,0.41653964
0.08538985,0.41641566
0.1398924,0.41517857
0.08879405,0.4154412
0.11282277,0.4153343
0.111527205,0.4141523
0.09742296,0.41299716
0.07910228,0.41257024
0.092133105,0.41319445
0.117326856,0.41208792
0.0862965,0.41168478
0.08605993,0.41129032
0.06489599,0.41156915
0.10188508,0.41085526
0.11617041,0.41048178
