LOSS,ACCURACY
1.1283057,0.3125
1.1619074,0.28125
1.1381271,0.26041666
1.1149228,0.28125
1.1350543,0.2875
1.159205,0.27604166
1.1365691,0.2857143
1.1235297,0.28515625
1.1273444,0.29166666
1.155067,0.29375
1.1080881,0.29829547
1.1615831,0.29166666
1.1393785,0.29567307
1.1754804,0.28794643
1.1182251,0.28958333
1.1188048,0.29296875
1.1408277,0.2959559
1.0856264,0.30381945
1.1145799,0.30592105
1.0801389,0.3109375
1.109904,0.3169643
1.1533332,0.31392047
1.1345575,0.3125
1.0358651,0.3203125
1.0813448,0.3275
1.1032152,0.32572114
1.077039,0.3298611
1.1403128,0.328125
1.084826,0.33512932
1.0718846,0.340625
1.03279,0.34576613
1.0195442,0.34960938
1.0541308,0.35416666
1.0734215,0.35569853
1.1058166,0.35714287
1.0951631,0.359375
1.0916516,0.3589527
1.0637825,0.36266446
1.1375448,0.3613782
1.0525136,0.3609375
1.0406594,0.36509147
1.0455719,0.36681548
1.0117519,0.3735465
1.0602874,0.37428978
1.0140282,0.3784722
1.013032,0.38179347
1.0565953,0.38364363
1.0475314,0.38671875
1.0339112,0.38839287
1.0287211,0.393125
1.0622567,0.3927696
1.122788,0.39182693
1.1104718,0.39150944
1.0742697,0.3917824
1.0284002,0.3943182
1.0543425,0.39620537
1.0809186,0.3963816
1.0199535,0.39816812
1.0759559,0.3993644
0.9754704,0.40364584
1.1095122,0.40266395
0.94928086,0.40675405
1.0438893,0.4077381
0.9991823,0.41015625
1.0342524,0.4105769
1.0123508,0.4124053
1.083399,0.41417912
1.0700772,0.41452205
1.038215,0.4144022
1.0358607,0.41517857
0.93065095,0.41769367
1.0498335,0.4184028
1.1004863,0.4178082
0.9839681,0.4201858
1.0731571,0.42083332
1.0420384,0.421875
1.0207047,0.4237013
1.0335097,0.42548078
0.9911274,0.4272152
1.124687,0.4265625
1.0549462,0.42746913
1.00512,0.43025914
1.0243903,0.43222892
1.0439993,0.43229166
1.0437913,0.43345588
0.93697786,0.4364099
1.0596459,0.4364224
1.0558224,0.43678978
1.0577617,0.4375
1.089632,0.43680555
0.94651693,0.43921703
1.0477048,0.4402174
1.0164435,0.44153225
1.0447447,0.4418218
1.0057006,0.44342107
1.07204,0.4440104
1.0534859,0.4439433
1.0185087,0.44419643
0.9879765,0.44602272
1.0317602,0.4459375
