LOSS,ACCURACY
1.2130661,0.4375
1.1830032,0.4921875
1.1290736,0.48958334
1.1166372,0.5
1.0669079,0.53125
0.9475248,0.5390625
1.208932,0.53125
1.0062068,0.54296875
1.1230878,0.5434028
1.1840255,0.5390625
1.166122,0.53125
0.9644263,0.53255206
1.1917968,0.53846157
1.1300197,0.53571427
1.1331327,0.53125
0.9171049,0.5371094
0.968652,0.53768384
1.0857109,0.5364583
1.0808061,0.5353618
0.9537034,0.5359375
1.084938,0.53199404
1.0839036,0.53053975
0.9548983,0.5305706
1.0836216,0.5279948
0.91860026,0.53
1.0574912,0.5300481
1.112791,0.5283565
1.0735376,0.52790177
1.047698,0.5290948
1.0049906,0.53020835
0.9008389,0.53125
0.93337137,0.53222656
1.058691,0.53267044
0.9241433,0.5344669
1.0073687,0.53482145
1.0700722,0.5355903
0.94003046,0.5384291
0.9799815,0.53824013
1.0676703,0.53966343
1.2188,0.5371094
1.0164998,0.53849083
1.0129126,0.5405506
1.026193,0.5396076
1.033958,0.5387074
0.91347426,0.5392361
0.88436615,0.54211956
1.0596879,0.5412234
0.9555577,0.5413411
0.9700508,0.54209185
1.0948894,0.54125
1.1788235,0.53952205
1.0829158,0.53816104
1.1226947,0.535967
1.1245705,0.5338542
1.1072826,0.53238636
1.0367008,0.532087
1.0961576,0.53070176
1.0633849,0.5301724
0.9932083,0.5299258
1.0053273,0.5296875
1.0432172,0.5297131
0.84556156,0.5327621
1.0773869,0.5332341
1.1240592,0.53222656
1.1107883,0.5314904
1.0235844,0.53101325
0.9673644,0.53055036
0.98324287,0.5303309
1.0577958,0.52921194
1.0561632,0.52901787
1.1189764,0.52772886
1.086898,0.52647567
0.9872133,0.52675515
1.0990586,0.5253378
1.1301278,0.5239583
1.0104779,0.52425987
1.1797738,0.52353895
1.0117481,0.52323717
1.1246328,0.52373415
1.0234958,0.52441406
1.005144,0.5248843
1.0006546,0.5245808
1.0100718,0.52503765
1.0505147,0.52418154
1.1013963,0.5235294
0.971642,0.52416426
0.99677294,0.5247845
1.029317,0.52485794
1.0876502,0.52510536
0.9689847,0.52552086
1.0793705,0.52472526
0.9981587,0.5251359
0.976131,0.52587366
0.9588656,0.52642953
0.8823857,0.5276316
1.0733504,0.52766925
0.9304627,0.52883375
0.85555524,0.52965564
0.87831503,0.5307765
0.96977425,0.5310938
