LOSS,ACCURACY
-27.374367,0.1875
-23.236847,0.1875
-13.982611,0.17708333
-21.485878,0.1640625
-18.988407,0.14375
-18.852346,0.16666667
-23.08656,0.1875
-26.506504,0.21875
-24.222425,0.22916667
-26.113457,0.246875
-26.957159,0.26420453
-26.009863,0.2734375
-26.585258,0.27403846
-27.130917,0.28125
-28.124794,0.28541666
-29.001251,0.28710938
-27.52651,0.2904412
-28.5809,0.30381945
-28.303513,0.2993421
-28.853785,0.303125
-30.069744,0.29910713
-31.145905,0.29545453
-30.743559,0.29347825
-30.886415,0.296875
-31.225777,0.305
-31.4416,0.31009614
-30.749207,0.3101852
-31.440853,0.3091518
-31.342112,0.3114224
-31.044235,0.309375
-30.449848,0.31149194
-32.22662,0.31152344
-32.53957,0.31155303
-32.69169,0.31617647
-32.055435,0.31517857
-32.665283,0.3168403
-32.338844,0.31925675
-31.966122,0.32648027
-33.185883,0.32692307
-32.848194,0.32578126
-32.3023,0.3277439
-32.834614,0.32738096
-32.876434,0.32485464
-33.152367,0.32457387
-32.996243,0.32569444
-32.98892,0.3267663
-33.21537,0.33178192
-33.32543,0.33203125
-33.525658,0.3309949
-33.56432,0.330625
-33.477547,0.3314951
-33.588284,0.3299279
-33.570713,0.33254716
-33.537563,0.33217594
-33.59517,0.33125
-33.512325,0.33035713
-33.597507,0.32894737
-33.596825,0.3292026
-33.396378,0.33050847
-33.582817,0.33020833
-33.68737,0.32940573
-33.78863,0.33165324
-33.791805,0.3298611
-33.750072,0.328125
-33.680935,0.3283654
-33.879593,0.3285985
-33.727657,0.32929105
-33.815327,0.3304228
-33.870174,0.33288044
-33.82382,0.33482143
-33.95994,0.3340669
-33.78414,0.3342014
-33.67027,0.33390412
-33.762352,0.33403715
-33.78859,0.33416668
-33.81944,0.3334704
-33.884068,0.3336039
-33.86563,0.3309295
-33.876717,0.32871836
-33.86977,0.32851562
-33.88535,0.3275463
-33.92241,0.3277439
-33.909523,0.32831326
-33.94086,0.32886904
-33.876255,0.3290441
-33.959896,0.3292151
-33.89792,0.33010057
-33.9054,0.33238637
-33.820347,0.33391854
-33.98474,0.3326389
-33.91675,0.3334478
-33.933735,0.33355978
-33.95091,0.3343414
-33.92699,0.33410904
-33.9777,0.33585528
-33.957977,0.33561197
-33.97488,0.33762887
-33.95158,0.33673468
-33.977825,0.33554292
-33.970547,0.33625
