LOSS,ACCURACY
1.1108125,0.59375
0.97473764,0.625
1.0731149,0.5729167
1.0108057,0.5703125
1.1035078,0.55
0.90285516,0.5677083
0.9691601,0.5714286
1.0741062,0.5625
1.0534065,0.5555556
0.97329843,0.559375
1.0755354,0.55397725
1.1679275,0.5390625
1.0077683,0.5432692
1.1740745,0.53125
1.0938556,0.52708334
0.9677215,0.53125
0.9973148,0.5330882
1.0783372,0.5295139
1.094049,0.5263158
1.1435454,0.5203125
0.9292815,0.52529764
1.097012,0.52272725
0.9172329,0.53125
0.9547674,0.5338542
1.0520371,0.5325
0.9626757,0.5348558
1.0187783,0.5347222
0.9889563,0.53571427
0.89519256,0.5398707
0.89519465,0.54375
0.89519465,0.547379
1.0826946,0.5449219
1.0514446,0.5435606
0.89519465,0.546875
1.1764446,0.5419643
0.95769465,0.5434028
0.95769465,0.5447635
1.0201946,0.5444079
1.0514446,0.5432692
1.0201946,0.54296875
0.95769465,0.54420733
0.95769465,0.5453869
1.1764446,0.5414244
0.92644465,0.5433239
1.0514446,0.54236114
0.86394465,0.5455163
0.89519465,0.54787236
0.89519465,0.5501302
0.98894465,0.5503827
0.92644465,0.551875
0.92644465,0.55330884
1.0514446,0.55228364
0.89519465,0.5542453
0.95769465,0.5549769
0.98894465,0.5551136
1.0201946,0.5546875
1.0514446,0.55372804
0.95769465,0.5544181
1.1764446,0.5513771
0.95769465,0.5520833
0.98894465,0.5522541
1.0826946,0.55090725
0.83269465,0.5535714
0.92644465,0.5546875
0.95769465,0.55528843
1.0514446,0.55445075
0.92644465,0.5555037
1.0826946,0.55422795
0.86394465,0.55615944
0.95769465,0.5566964
1.0514446,0.5558979
1.1764446,0.55338544
1.0514446,0.5526541
1.0826946,0.5515203
1.2076946,0.54875
0.92644465,0.5497533
1.0826946,0.5487013
0.86394465,0.5504808
1.0201946,0.55023736
0.89519465,0.5515625
1.0201946,0.55131173
0.98894465,0.55144817
1.0514446,0.55082834
0.92644465,0.5517113
0.89519465,0.5529412
1.0201946,0.55268896
0.95769465,0.5531609
0.89519465,0.5543324
0.95769465,0.5547753
0.98894465,0.5548611
0.92644465,0.5556319
0.95769465,0.5560462
