LOSS,ACCURACY
1.0880065,0.34375
1.0880959,0.375
1.0874722,0.38541666
1.087995,0.4296875
1.0878243,0.45
1.0872574,0.45833334
1.0875814,0.45982143
1.0879092,0.4375
1.0880623,0.43055555
1.087558,0.425
1.0873003,0.4375
1.0867134,0.4453125
1.088025,0.44471154
1.0871034,0.44642857
1.0866116,0.45208332
1.0865394,0.45898438
1.086053,0.47058824
1.0858451,0.47743055
1.0857489,0.48026314
1.0854367,0.4875
1.0862002,0.48809522
1.0854588,0.4943182
1.0864687,0.49456522
1.0842091,0.5026042
1.0853695,0.5025
1.0840622,0.50961536
1.0856806,0.5092593
1.086533,0.50446427
1.0850809,0.5075431
1.0853131,0.5083333
1.0847366,0.51008064
1.084348,0.5126953
1.0857829,0.5113636
1.084986,0.5110294
1.0828975,0.51339287
1.0825145,0.5164931
1.0824314,0.5185811
1.084186,0.51891446
1.0843176,0.5192308
1.0791636,0.525
1.0842034,0.5243902
1.0831053,0.52380955
1.0839273,0.5239826
1.0801938,0.5255682
1.0873288,0.5222222
1.0812085,0.5251359
1.0813115,0.52726066
1.0834056,0.52734375
1.0758057,0.53252554
1.0853853,0.531875
1.0806053,0.5324755
1.0795367,0.53365386
1.0829681,0.5324292
1.0775467,0.5341435
1.0812498,0.5335227
1.0796888,0.53515625
1.0840619,0.5339912
1.0789151,0.53556037
1.080974,0.5354873
1.072214,0.5385417
1.0763134,0.539959
1.0751274,0.54183465
1.0769356,0.5421627
1.0743681,0.54296875
1.0854478,0.54134613
1.074857,0.5426136
1.0858126,0.54057837
1.0777261,0.5399816
1.0767096,0.5407609
1.0769378,0.5410714
1.0768561,0.54137325
1.0777786,0.54123265
1.0737251,0.5419521
1.0812811,0.5409628
1.070567,0.5420833
1.0704523,0.54235196
1.0756772,0.5413961
1.0768538,0.54086536
1.078752,0.5399525
1.079557,0.53945315
1.0693626,0.54012346
1.0589072,0.54230183
1.0700579,0.5425452
1.0751023,0.54241073
1.0616908,0.54338235
1.0598879,0.5457849
1.0768062,0.5445402
1.0625534,0.54509944
1.072099,0.5445927
1.0702512,0.54444444
1.0826697,0.54361266
1.0538313,0.5451766
1.0832039,0.5436828
1.0619525,0.54388297
1.051504,0.5453947
1.0739504,0.5442708
1.0551265,0.5451031
1.0583436,0.54528064
1.043468,0.54608583
1.0632386,0.5465625
1.0593288,0.5464109
1.0649649,0.54626226
1.050563,0.5464199
1.044246,0.54777646
1.0467571,0.54821426
1.0465579,0.5483491
1.0457158,0.5484813
1.0725209,0.5477431
1.0487937,0.54759175
1.0307078,0.54829544
1.0535959,0.5484234
1.0424592,0.5485491
1.0615293,0.5478429
1.048363,0.54769737
1.0452596,0.5475544
1.0111599,0.5490302
1.0191971,0.5499466
1.0499226,0.5495233
1.0258576,0.5498949
1.0707577,0.54895836
1.033749,0.54907024
1.0313675,0.5491803
1.0543605,0.5485264
1.0242976,0.5486391
0.9983489,0.5495
1.0643324,0.5486111
1.0270686,0.5487205
1.043146,0.548584
1.0129495,0.5489341
0.98272675,0.5497596
0.9949288,0.55009544
0.9672604,0.5511364
0.95586044,0.5523966
1.0251229,0.552472
1.0591961,0.55185187
1.0099003,0.5521599
1.0429915,0.5520073
1.0324647,0.55163044
0.9928398,0.55170864
0.9733754,0.55223215
1.0260739,0.5518617
1.0271525,0.5514965
1.0539771,0.5509178
0.9781328,0.5512153
0.9551625,0.55193967
0.9077224,0.55308217
1.0181708,0.5529337
1.0594828,0.5521537
1.100276,0.5509648
1.0099484,0.55083334
0.9486674,0.5513245
0.998792,0.55139804
1.016447,0.5512663
1.0546074,0.5505276
0.9747211,0.55080646
1.0124226,0.5506811
1.0830278,0.5497612
1.004501,0.54984176
0.9418892,0.5503145
0.9257099,0.5509766
0.9578548,0.55124223
1.029685,0.5509259
1.0581883,0.5504218
1.0424304,0.5499238
0.9938829,0.55
1.0293883,0.54969877
0.9761415,0.5499626
1.0863459,0.54929316
0.9802803,0.5493713
0.9605277,0.5496324
1.0843234,0.54879385
0.985729,0.54887354
1.1015885,0.54804915
0.98003215,0.5481322
0.9009597,0.54875
0.9471004,0.54918325
0.9365933,0.54961157
1.0999591,0.5488062
0.98102295,0.54888266
0.87661415,0.54965276
1.0376127,0.5492058
1.0113513,0.54910713
0.9756838,0.5491803
1.0171177,0.5490829
0.9507655,0.54932433
1.0870132,0.5487231
0.85416526,0.5496324
0.946292,0.54986703
0.9865977,0.54993385
0.97915685,0.55
0.8849263,0.5507199
0.81950116,0.5517578
0.9562371,0.55197537
0.9843729,0.5520296
0.8999411,0.5525641
1.0546067,0.5521365
0.9051806,0.552665
0.9769316,0.55271465
0.90057075,0.55323493
0.87620586,0.55390626
1.0505285,0.5534826
1.0328804,0.5532178
0.9248018,0.5535714
1.0245998,0.55330884
1.087871,0.5527439
0.958981,0.55294293
1.0035042,0.55283815
0.9639936,0.55303484
1.0845994,0.55248207
1.0853467,0.55193454
1.0588237,0.55154026
0.92600447,0.5518868
1.0147978,0.5517899
0.9778292,0.55183995
0.9589353,0.55203485
1.0095639,0.55193865
0.9577457,0.55213135
1.0871226,0.5516055
1.0269315,0.55136985
1.0581473,0.55099434
1.1473716,0.55019796
0.88220936,0.5506757
0.89676064,0.55114913
0.8672232,0.5517578
0.981223,0.55180556
0.8645888,0.55240595
1.0369868,0.5521751
1.2181375,0.5509868
1.0002255,0.55090064
0.9816922,0.55095106
0.9538173,0.5511364
1.0028532,0.55105066
0.9719217,0.5510998
0.99444467,0.55101496
1.0359839,0.5507979
0.901577,0.5512447
1.0229161,0.5510285
0.968176,0.5510767
0.98354477,0.55112445
0.8068786,0.55195314
0.9451583,0.5521265
0.97077966,0.55216944
1.0114983,0.5520833
0.8689914,0.5526383
0.97124994,0.5526786
1.0113089,0.55259144
1.0362313,0.55237854
1.0674033,0.55204135
0.975643,0.5520833
0.9864978,0.552125
1.0067894,0.5520418
1.0068148,0.55195934
1.0778306,0.55150694
0.8966102,0.5519193
0.94636613,0.5520833
0.9456056,0.5522461
0.8933103,0.55265075
1.0615147,0.5523256
1.0631926,0.5520029
1.0221816,0.5518029
0.8959112,0.55220306
1.0817031,0.55176526
1.0593798,0.5514496
0.89126164,0.55184656
0.9855669,0.5518868
0.92648053,0.55216163
0.85797226,0.5526685
0.8732516,0.55317163
0.8874001,0.55355483
1.027573,0.55335647
0.9998963,0.5532749
1.084303,0.5528493
0.9511308,0.5529991
0.9210153,0.5532619
1.0624626,0.55295455
1.0005941,0.5528759
0.8950906,0.5532491
1.0875367,0.5528327
0.90084994,0.5532034
1.0270284,0.5530134
0.9794404,0.5530472
0.9211395,0.5533023
1.0326358,0.55311394
0.86999977,0.55358714
0.9205047,0.5538377
0.92415255,0.55408657
1.0099429,0.554007
0.88710946,0.554362
1.0645733,0.55406576
1.0561949,0.55377156
1.0690124,0.5534794
0.8210031,0.55415237
1.1180289,0.55364764
1.144019,0.55303997
0.9509482,0.55317795
0.919918,0.5534206
0.9747872,0.5534512
0.97777206,0.5534815
0.9790336,0.5535117
1.0283414,0.55333334
0.9879345,0.5533638
1.0891734,0.5529801
1.0028273,0.5529084
1.0739032,0.55263156
0.95580864,0.5527664
0.9871604,0.5527982
0.9494234,0.5529316
0.9904089,0.55296266
0.83903676,0.55349916
1.2126184,0.55262095
1.0083147,0.5525522
0.80924594,0.5531851
0.89344984,0.55351436
1.0349807,0.55334395
0.98346967,0.55337304
1.0319747,0.5532041
1.1432045,0.5526419
1.1699266,0.5519851
0.9534681,0.552116
1.0073569,0.55205077
0.8233743,0.55266744
1.0419348,0.5525039
1.0438174,0.55234134
0.91808504,0.5525656
0.9687203,0.55259615
