LOSS,ACCURACY
1.1607667,0.59375
1.0292678,0.609375
0.98434633,0.59375
0.94587684,0.6015625
1.038445,0.58125
0.84612703,0.6041667
1.0219245,0.59375
0.8947505,0.6015625
0.989437,0.5972222
0.86404204,0.60625
0.98893404,0.60227275
0.98895115,0.5989583
0.9577066,0.5985577
0.9264444,0.6004464
0.98894525,0.59791666
0.83269465,0.60546875
0.92644465,0.6066176
0.95769465,0.6059028
1.1139446,0.59703946
0.92644465,0.5984375
1.0826946,0.5922619
1.2076946,0.58096594
0.92644465,0.58288044
0.92644465,0.58463544
1.0201946,0.5825
0.92644465,0.58413464
1.0514446,0.5810185
1.2389446,0.5714286
1.0514446,0.5689655
0.95769465,0.5697917
1.0514446,0.56754035
1.0514446,0.5654297
0.83269465,0.57007575
0.98894465,0.56985295
1.1139446,0.56607145
0.89519465,0.5685764
0.92644465,0.5701014
1.0201946,0.5690789
0.98894465,0.56891024
1.0826946,0.56640625
0.95769465,0.56707317
0.98894465,0.56696427
0.92644465,0.56831396
0.92644465,0.56960225
0.92644465,0.5708333
0.92644465,0.5720109
0.98894465,0.5718085
0.86394465,0.57421875
0.98894465,0.5739796
0.89519465,0.575625
0.98894465,0.5753676
1.1451946,0.57211536
1.1139446,0.5695755
0.98894465,0.5694444
0.89519465,0.57102275
0.89519465,0.57254463
0.83269465,0.57510966
0.98894465,0.5748922
0.98894465,0.5746822
0.95769465,0.575
0.89519465,0.576332
1.0514446,0.5751008
0.86394465,0.5768849
1.0826946,0.5751953
0.92644465,0.57596153
1.1139446,0.5738636
0.95769465,0.57416046
0.83269465,0.5762868
0.98894465,0.57608694
1.1139446,0.57410717
0.98894465,0.5739437
1.0201946,0.57335067
1.1139446,0.57148975
1.0514446,0.5705236
0.89519465,0.57166666
0.92644465,0.57236844
0.80144465,0.5746753
0.95769465,0.5749199
0.92644465,0.5755538
0.92644465,0.5761719
1.1451946,0.5740741
0.98894465,0.57393295
1.0201946,0.5734187
0.92644465,0.5740327
0.89519465,0.575
1.0201946,0.57449126
1.1764446,0.5721983
1.1451946,0.5703125
0.92644465,0.57092696
0.98894465,0.5708333
1.0514446,0.57005495
1.0514446,0.5692935
1.0514446,0.5685484
1.0826946,0.5674867
1.0514446,0.56677634
0.83269465,0.5683594
1.0514446,0.5676546
0.89519465,0.5685587
1.1451946,0.5669192
0.95769465,0.5671875
