LOSS,ACCURACY
31.352663,0.15625
7.9157047,0.1875
7.9540033,0.20833333
1.9920733,0.1796875
nan,0.225
nan,0.21875
nan,0.20535715
nan,0.20703125
nan,0.21875
nan,0.221875
nan,0.21306819
nan,0.21875
nan,0.22836539
nan,0.23214285
nan,0.23541667
nan,0.23632812
nan,0.23529412
nan,0.23090278
nan,0.23355263
nan,0.2296875
nan,0.22767857
nan,0.234375
nan,0.23233695
nan,0.23046875
nan,0.23
nan,0.2295673
nan,0.22685185
nan,0.23102678
nan,0.2349138
nan,0.23333333
nan,0.2328629
nan,0.23632812
nan,0.23674242
nan,0.23529412
nan,0.2375
nan,0.23524305
nan,0.2339527
nan,0.23190789
nan,0.23317307
nan,0.234375
nan,0.23170732
nan,0.22991072
nan,0.23037791
nan,0.2265625
nan,0.22430556
nan,0.22486413
nan,0.22606383
nan,0.22526042
nan,0.22640306
nan,0.22625
nan,0.22671568
nan,0.22716346
nan,0.2293632
nan,0.23148148
nan,0.23125
nan,0.22991072
nan,0.23190789
nan,0.2338362
nan,0.23569915
nan,0.2375
nan,0.23770492
nan,0.23991935
nan,0.24156746
nan,0.24023438
nan,0.24375
nan,0.24289773
nan,0.24113806
nan,0.23943014
nan,0.23958333
nan,0.24151786
nan,0.24163732
nan,0.2421875
nan,0.24143836
nan,0.24282095
nan,0.24375
nan,0.24383223
nan,0.24431819
nan,0.24439102
nan,0.24406646
nan,0.2453125
nan,0.24459876
nan,0.24352135
nan,0.24284638
nan,0.24367559
nan,0.24338235
nan,0.2434593
nan,0.24317528
nan,0.24431819
nan,0.24473314
nan,0.24409722
nan,0.2445055
nan,0.24422555
nan,0.24462366
nan,0.24534574
nan,0.24638158
nan,0.24641927
nan,0.24581185
nan,0.24585459
nan,0.2471591
nan,0.2484375
