LOSS,ACCURACY
0.77529335,0.59375
0.69632274,0.6875
0.90323615,0.65625
0.98789155,0.5859375
0.92790866,0.55625
0.92196643,0.5364583
0.9310547,0.52678573
1.0234253,0.51171875
0.83631736,0.5208333
0.96252954,0.521875
0.93632805,0.52272725
0.9081399,0.5234375
0.9190361,0.52163464
0.97573465,0.51785713
0.8962246,0.51875
0.9119359,0.51171875
0.8544331,0.5128676
0.9610264,0.5121528
0.86874306,0.51480263
0.9599798,0.509375
0.81952477,0.51636904
0.943698,0.515625
0.83486617,0.51902175
0.93875504,0.5182292
0.8883954,0.5175
0.886777,0.5168269
0.9055982,0.5173611
0.947484,0.515625
0.78122747,0.51831895
0.8751024,0.51145834
0.8214344,0.5110887
0.92225033,0.5097656
0.9408499,0.50852275
0.8156033,0.50919116
0.75504905,0.51517856
0.8242274,0.5182292
0.7177582,0.5219595
0.878881,0.5222039
0.8064914,0.525641
0.9738215,0.51875
0.84166014,0.51829267
0.9812002,0.5141369
0.8781339,0.5116279
0.88958687,0.5099432
0.85259587,0.5069444
0.8686291,0.5054348
0.83100545,0.5046542
0.86423075,0.5019531
0.7866725,0.5031888
0.81157243,0.50375
0.7330688,0.5055147
0.70308334,0.50841343
0.86008465,0.5064858
0.77073747,0.5069444
0.72080445,0.50852275
0.83223087,0.5061384
0.7832037,0.50712717
0.7848716,0.5096983
0.87411475,0.50900424
0.7474694,0.5109375
0.7405033,0.51127046
0.8017694,0.51008064
0.75849116,0.5119048
0.7710924,0.51123047
0.74630713,0.51153845
0.7525307,0.5123106
0.7987783,0.51119405
0.7559083,0.5119485
0.7829151,0.5117754
0.73465204,0.5147321
0.7787329,0.51540494
0.7618818,0.515625
0.7489082,0.5162671
0.6991214,0.5190034
0.66479856,0.52208334
0.7773401,0.52179277
0.7497035,0.52191556
0.7976525,0.52163464
0.70493877,0.5225475
0.76961076,0.5214844
0.71896315,0.5219907
0.783491,0.52134144
0.72174406,0.52296686
0.68795013,0.52529764
0.7644695,0.5272059
0.71664643,0.52688956
0.7822951,0.5262213
0.8074778,0.52485794
0.7898222,0.5242275
0.73014337,0.5246528
0.7772542,0.5243819
0.792498,0.5227581
0.7188058,0.52284944
0.7081466,0.52327126
0.7534747,0.5226974
0.73141575,0.52246094
0.6894258,0.5238402
0.743138,0.5248724
0.7045231,0.5265151
0.7363346,0.526875
