LOSS,ACCURACY
1.0878894,0.4375
1.0866714,0.515625
1.0870261,0.53125
1.0870402,0.546875
1.0875009,0.5375
1.0867431,0.5416667
1.0869547,0.54910713
1.0863088,0.55859375
1.0871743,0.5520833
1.0872526,0.534375
1.0870342,0.53125
1.0869342,0.53125
1.0864333,0.52403843
1.0871054,0.5223214
1.086559,0.51875
1.0860275,0.5234375
1.0859493,0.53125
1.0842088,0.5434028
1.0870752,0.5361842
1.0862075,0.5359375
1.0859295,0.53571427
1.0841498,0.53977275
1.0846539,0.5407609
1.0839815,0.5416667
1.0855722,0.54
1.0855248,0.54086536
1.083629,0.5439815
1.083974,0.5457589
1.0839738,0.54633623
1.0857794,0.54375
1.0832144,0.54435486
1.0825512,0.54589844
1.0851688,0.54450756
1.0826495,0.5450368
1.0856827,0.54375
1.0849513,0.5425347
1.0826659,0.5422297
1.0816385,0.54358554
1.0848787,0.5416667
1.0829262,0.5421875
1.0787418,0.5464939
1.0827982,0.546875
1.0828933,0.54723835
1.0816805,0.5490057
1.0834342,0.54791665
1.0791343,0.5495924
1.0826445,0.54920214
1.0820813,0.5488281
1.0857679,0.54591835
1.0837289,0.544375
1.0807745,0.54473037
1.0773885,0.54747593
1.0795068,0.5477594
1.076845,0.5491898
1.0844661,0.5465909
1.080837,0.546317
1.080242,0.5466009
1.0770026,0.54741377
1.0800687,0.5476695
1.0855455,0.5453125
1.0818143,0.5445697
1.072056,0.547379
1.0794746,0.54761904
1.0820364,0.546875
1.0799036,0.5466346
1.076274,0.5464015
1.0798584,0.54570895
1.0664483,0.5496324
1.0743719,0.55117756
1.0812318,0.55044645
1.0788769,0.5497359
1.0734216,0.5503472
1.072943,0.55094177
1.0780679,0.5502534
1.0692835,0.55125
1.0646459,0.55263156
1.0740697,0.5523539
1.0751914,0.5520833
1.0812781,0.5506329
1.073409,0.5503906
1.0706744,0.5509259
1.062952,0.5518293
1.070635,0.5515813
1.065854,0.5520833
1.0646441,0.5525735
1.0815238,0.5508721
1.075175,0.5499282
1.0745025,0.5490057
1.0598313,0.5505618
1.0724136,0.55
1.0644971,0.54979396
1.0513929,0.55129075
1.0666816,0.5507392
1.0732887,0.54986703
1.0697275,0.54967105
1.0778238,0.5485026
1.0592552,0.5486469
1.055358,0.549426
1.0615865,0.54924244
1.0547694,0.549375
