LOSS,ACCURACY
0.650966,0.65625
0.68100935,0.578125
0.79209256,0.5208333
0.72382665,0.5546875
0.8595948,0.54375
0.8453088,0.53125
0.6829232,0.51785713
0.7255561,0.50390625
0.7390202,0.4826389
0.6955458,0.478125
0.5926037,0.49147728
0.63026357,0.49479166
0.65323454,0.48798078
0.692737,0.47098213
0.5638789,0.475
0.5027676,0.48632812
0.5509337,0.4852941
0.5724766,0.47743055
0.53582764,0.47697368
0.55329657,0.471875
0.5658289,0.4642857
0.49579638,0.46732953
0.5516896,0.4605978
0.4230371,0.46614584
0.47190315,0.47125
0.5675197,0.47235578
0.50353634,0.4722222
0.54921937,0.46875
0.47661132,0.46875
0.48883545,0.47291666
0.4219625,0.47479838
0.45901543,0.47558594
0.46276104,0.4744318
0.4661193,0.47058824
0.37961,0.4732143
0.46151298,0.47135416
0.4278376,0.4721284
0.4483862,0.47286186
0.40472722,0.47596154
0.44158155,0.47265625
0.3822254,0.47637194
0.41376626,0.47619048
0.47507012,0.4702035
0.42391312,0.47301137
0.4226234,0.47361112
0.37173527,0.47826087
0.41926366,0.48071808
0.40828037,0.48372397
0.4169582,0.48660713
0.43487525,0.489375
0.43478775,0.48958334
0.4200263,0.48978364
0.4853933,0.4864387
0.43412453,0.4837963
0.3910566,0.4846591
0.42776287,0.48325893
0.37422085,0.4857456
0.4181295,0.4854526
0.3571838,0.48887712
0.43630266,0.48958334
0.37819082,0.491291
0.40559942,0.4924395
0.41914606,0.49355158
0.42565793,0.4946289
0.44868863,0.4923077
0.43262798,0.49147728
0.38392502,0.49113807
0.39131433,0.4912684
0.37990832,0.49230072
0.3800708,0.49285713
0.37609035,0.49427816
0.42051917,0.4934896
0.4061274,0.49315068
0.3935392,0.49493244
0.35968447,0.4975
0.42499113,0.49671054
0.41458356,0.4979708
0.41575998,0.49879807
0.40778935,0.4988133
0.41210443,0.4984375
0.37845236,0.4996142
0.41275597,0.4984756
0.42080754,0.49698794
0.4276961,0.49441963
0.38448137,0.49411765
0.39798367,0.4934593
0.3913601,0.49425286
0.40405488,0.49467328
0.3808868,0.4954354
0.40036392,0.49444443
0.4174102,0.49278846
0.36547256,0.49456522
0.42336714,0.49294356
0.44266903,0.49268618
0.38612372,0.49407893
0.33651674,0.49674478
0.44836318,0.4945232
0.4158898,0.4942602
0.41458553,0.49400252
0.4054777,0.4953125
