LOSS,ACCURACY
0.49448508,0.53125
0.6952032,0.515625
0.6313733,0.5104167
0.63149047,0.4921875
0.7167407,0.44375
0.5137246,0.46875
0.53587186,0.49107143
0.4956926,0.5
0.5522347,0.5104167
0.48356444,0.515625
0.4780146,0.5198864
0.599702,0.5182292
0.45598215,0.5168269
0.4902721,0.51785713
0.5076182,0.51875
0.59948224,0.5136719
0.5401692,0.50735295
0.48080647,0.5069444
0.48023468,0.50986844
0.5945221,0.5015625
0.49856913,0.5029762
0.45099485,0.5113636
0.50706905,0.5149456
0.49466366,0.51953125
0.44241226,0.5225
0.45141673,0.52403843
0.53227913,0.5243056
0.6465753,0.5167411
0.45896202,0.51185346
0.5374722,0.5104167
0.48717785,0.5090726
0.56186587,0.50683594
0.43346894,0.5123106
0.45694935,0.50919116
0.40568578,0.5089286
0.50047106,0.5034722
0.42347217,0.5059122
0.38654393,0.5065789
0.43294126,0.5040064
0.42442757,0.50390625
0.45304197,0.503811
0.40684015,0.50446427
0.432176,0.50581396
0.42166275,0.50710225
0.4257024,0.5069444
0.4531666,0.50339675
0.38298994,0.5046542
0.44043547,0.5045573
0.38831866,0.5063776
0.42908657,0.50375
0.45953763,0.50061274
0.44167924,0.50240386
0.43419886,0.5023585
0.4125827,0.5017361
0.40687186,0.5034091
0.49907404,0.49944195
0.41698313,0.50054824
0.40011054,0.50053877
0.3749894,0.501589
0.4005046,0.5
0.37574548,0.50358605
0.37031692,0.50554436
0.36966795,0.50843257
0.44531935,0.5083008
0.41486531,0.50721157
0.41729468,0.50757575
0.4112653,0.50652987
0.4140101,0.50735295
0.3865841,0.509058
0.3882321,0.5098214
0.3852142,0.5105634
0.42817223,0.5086806
0.3729158,0.51155823
0.39727062,0.5126689
0.38052708,0.51208335
0.36312878,0.5143914
0.38579607,0.5158279
0.3918224,0.51482373
0.38013422,0.51621836
0.40967607,0.5167969
0.3937977,0.5181327
0.40967923,0.5179116
0.3948111,0.5180723
0.4225865,0.51636904
0.404054,0.51433825
0.37468493,0.51526165
0.40864223,0.5143678
0.3713796,0.515625
0.38548756,0.51580054
0.40386337,0.515625
0.40952563,0.51476645
0.38229787,0.515625
0.36380285,0.5171371
0.37867343,0.51861703
0.4298666,0.5161184
0.40752304,0.515625
0.40708804,0.5157861
0.38457268,0.51658165
0.3729784,0.5183081
0.36694854,0.519375
0.36267525,0.5204208
0.4063002,0.52052695
0.4102229,0.5203277
0.37131315,0.5219351
0.3902713,0.5220238
0.36231524,0.5227005
0.38183135,0.5230724
0.3793422,0.5237269
0.40384257,0.52379584
0.38028294,0.5244318
0.411385,0.5239302
0.42299473,0.5231585
0.38793653,0.5237832
0.4272374,0.52275217
0.38856626,0.5230978
0.41193402,0.52289873
0.38744795,0.522703
0.418548,0.5217161
0.4083554,0.5215336
0.40975714,0.5205729
0.3893203,0.52091944
